stop_words_removed_qns,tag1
for birthday Kevin receive set pairwise distinct number 1 2 3 ldot n giftHe go arrange number way minimum absolute difference consecutive number maximum possible more formally arrange number order p_1 p_2 ldot p_n want maximize value min limits_i1n 1 lvert p_i 1 p_i rvert x denote absolute value xHelp Kevin,greedy
you work quality control department technical support large company your job sure client issue resolvedtoday need check copy dialog client technical support manager according rule work message client follow message answer support manager however client ask question quickly manager answer old question appear client ask new questionsDue privacy policy text message available order message visible type message customer question response technical support manager it guarantee dialog begin question clientyou determine dialog correspond rule work describe rule certainly breach,greedy
little Misha go programming club solve it strange find Misha film Minecraft series fall placeMisha inspire Manhattan build city Minecraft imagine table size n time m k student live city ith student live house locate intersection x_ith row y_ith column also student degree aggressiveness w_i since city turn large Misha decide territorially limit action series square s side parallel coordinate axis the length square integer 1 minn m cellsaccorde plot main hero come city accidentally fall square s possess unique degree aggressiveness 0 able leadership quality assemble team calm moderate aggressive studentsin order assemble team versatile closeknit degree aggressiveness student team pairwise distinct form single segment consecutive integer formally exist student degree aggressiveness l l1 ldot 1 1 ldot r1 r inside square s l le 0 le r main hero able form team rl1 people course include teamnotice require student square s teamMisha think team consist t people that interested square table main hero able form team t people help calculate,brute force
you give binary array element array 0 1 length n you wish sort array unfortunately algorithm teacher forgot teach sort algorithm you perform follow operation sort choose random index j j Indices choose equally probable pair index j 1 le j le n if a_i a_j swap element a_i a_j what expect number operation perform array sortedIt show answer express irreducible fraction fracpq p q integer q equiv 0 pmod998244353 Output integer equal p cdot q1 bmod 998244353 in word output integer x 0 le x 998244353 x cdot q equiv p pmod998244353,dynamic programming
consider array length n element number 1 n it possible remove ith element gcda_i 1 gcd denote great common divisor after element remove element right shift leave positionAn array b n integer 1 le b_i le n 1 removal sequence array possible remove element remove b_1th element b_2th b_nth element for example let 42 314 1 1 removal sequence remove 1st element array condition gcd42 1 1 hold array 314 remove 1st element condition gcd314 1 1 hold array 2 1 removal sequence try remove 2nd element condition gcd314 2 1 false an array ambiguous removal sequence for example array 1 2 5 ambiguous removal sequence 3 1 1 1 2 1 the array 42 314 ambiguous removal sequence 1 1you give integer n m you calculate number ambiguous array length 1 n a_i integer 1 m,dynamic programming
Alice Bob playing game they array positive integer size nBefore start game Alice choose integer k ge 0 the game last k stage stage number 1 k During ith stage Alice remove element array equal k 1 after array Bob add k 1 arbitrary element array Note Alices Bobs part stage game if Alice can not delete element stage lose if kth stage end Alice have not lose winsyour task determine maximum value k Alice win player play optimally Bob play Alice try lose game possible,greedy
you play computer game to pass current level kill big horde monster in horde n monster stand row number 1 n the ith monster a_i health special Deaths Blessing spell strength b_i attach ityou go kill it take exactly h second kill monster health hWhen ith monster die cast spell increase health neighbor b_i neighbor jth monster row monster place j 1 j 1 the monster neighbor eachafter monster kill row shrink neighbor adjacent die affected spell for example imagine situation 4 monster health 2 6 7 3 spell b 3 6 0 5 one way rid monster show 2673xrightarrow6 s8133xrightarrow13 s83xrightarrow8 s6xrightarrow6 s3605305355 the row represent health monster second power spell as result kill monster 6 13 8 6 33 second note example fast way rid monsterswhat minimum time require kill monster row,greedy
there s chessboard size n time n m rook place way rook occupy cell rooks attack a rook attack cell row columnis possible exactly rook choose different cell rooks attack a rook cell row column rook stand path,greedy
for give integer n m let pair array b integer good satisfy follow condition b length let length k k ge 2 a_1 0 a_k n b_1 0 b_k m for 1 le k following hold a_i geq a_i 1 b_i geq b_i 1 a_i b_i neq a_i 1 b_i 1find sum good pair arrays ab since answer large output modulo 109 7,dynamic programming
you give array consist n integer you want distribute n integer group s_1 s_2 group follow condition satisfied for 1 leq leq n a_i go exactly group the value sums_1 sums_2 maximum possible way distribute integershere sums_1 denote sum number group s_1 sums_2 denote sum number group s_2determine maximum possible value sums_1 sums_2,greedy
Anton decide ready Olympiad Informatics Ilya prepared n task solve it possible submit solution ith task d_i day Anton solve task day Ilya estimate usefulness ith task r_i divide task topic topic ith task type_iAnton wants solve exactly task topic b task second topic c task topic tell Anton possible calculate maximum total usefulness task solve,dynamic programming
the difference problem hard version maximum number questionsthis interactive problemthere hide integer 1 le x le n find in order find ask mathbf53 questionsIn question choose nonempty integer set S ask x belong S question x belong S you ll receive yes nobut problem answer necessarily true joke guarantee consecutive question answer correctlyadditionally question 2 guess answer x each time guess guess x correctly receive program terminate you ll receive as joke fix value x beginning instead change interaction long previous response valid describe abovenote answer guess answer correctly if ask question guess question answer correctly normal,dynamic programming
you give permutation size n perform n operation in ith operation choose nonempty suffix increase element how perform operation minimize number inversion final arraynote perform operation suffix number time wanta permutation size n array size n integer 1 n occur exactly array a suffix consecutive element array include element array an inversion array pair indice j j a_i a_j,greedy
you array size n consist zero one you follow operation choose index 1 le j le n ne j add a_i a_j remove a_i note element big 1 perform operation also note n 1 operationwhat minimum number operation need nondecrease ie element previous element,greedy
you array size n consist zeroes one integer k in operation follow Select 2 consecutive element replace minimum let a_1 a_2 ldot a_i1 mina_i a_i1 a_i2 ldot a_n 1 le le n1 this operation decrease size 1 Select k consecutive element replace maximum let a_1 a_2 ldot a_i1 maxa_i a_i1 ldot a_ik1 a_ik ldot a_n 1 le le nk1 this operation decrease size k1 determine possible turn 1 possibly zero operation,greedy
this hard version problem the difference easy hard version constraint b c dyou give 4 positive integer b c d c b d find pair number x y satisfie follow condition x leq c b y leq d x cdot y divisible cdot bNote require x y exist,brute force
this easy version problem the difference easy hard version constraint b c dyou give 4 positive integer b c d c b d find pair number x y satisfie follow condition x leq c b y leq d x cdot y divisible cdot bNote require x y exist,brute force
you give array positive integer a_1 a_2 ldot a_nmake product number array a_1 cdot a_2 cdot ldot cdot a_n divisible 2nyou perform follow operation time like select arbitrary index 1 leq leq n replace value a_i a_ia_i cdot you apply operation repeatedly single index in word select value differentfind small number operation need perform product element array divisible 2n note set operation exist,greedy
an integer array a_1 a_2 ldot a_n transform array lowercase english letter follow prodecurewhile number array Choose number x array letter English alphabet y replace occurrence number x letter y for example initially array 2 3 2 4 1 transform follow way choose number 2 letter c after c 3 c 4 1 Choose number 3 letter after c c 4 1 Choose number 4 letter t after c c t 1 Choose number 1 letter after c c t after transformation letter united string example string cactahave array stre s determine string s got array describe transformation,greedy
note memory limit unusuallet define sequence Fibonacci string follow f_0 0 f_1 1 f_i f_i1 f_i2 i1 denote concatenation string so example f_2 10 f_3 101 f_4 10110for give string s let define gs number way cut number possibly string string Fibonacci string for example s 10110101 gs 3 way cut 101101 01 1011 0101 1011 01 01 you give sequence string s_1 s_2 dot s_n Calculate gs_1 gs_1 s_2 dot gs_1 s_2 ldot s_n since value huge print modulo 998244353,dynamic programming
