stop_words_removed_qns,tag1
Andrew love sea that s height summer season decide beach take sunbe sunbatheThe beach rectangular field n row m column some cell beach free road stone shop nonmovable object some adjacent cell sunbed locate horizontally verticallyAndrew hope sunbe that s bad luck long free place that s Andrew ask help find free place sunbe Andrews sunbe place adjacent cell if adjacent free cell order free place sunbe disturb tourist you follow action come sunbe cause p unit discomfort owner lift sunbe side rotate 90 degree one half sunbe remain cell half sunbe free cell at time way sunbe rotation Rotation sunbe 90 degree cell 1 2 come sunbe cause q unit discomfort owner shift sunbe long cell one half sunbe place free cell Shift sunbe cell right in moment sunbe occupie adjacent free cell you sunbe timehelp Andrew free space sunbe cause minimum possible number unit discomfort tourist detect impossible,graph
you give tree consist n vertex Initially vertex value 0you need perform m query type you give vertex index v print value vertex v you give vertex index u v value k d d le 20 you need add k value vertex distance vertex path u v equal d the distance vertex x y equal number edge path x y for example distance x x equal 0the distance vertex v path x y equal minimum distance v vertex path x y,tree
monocarp playing Minecraft want build wall cacti he want build field sand size n time m cell Initially cacti cell field Note Minecraft cacti grow cell adjacent initial field meet restriction Monocarp plant new cacti fulfil aforementione condition he can not chop cacti grow field do not axe cacti prickly handsMonocarp believe wall complete path row field row consecutive cell path adjacent cell belong path contain cactus your task plant minimum number cacti build wall report impossible,graph
you give rooted tree consist n vertex the vertex number 1 n root vertex 1 you give score array s_1 s_2 ldot s_nA multiset k simple path call valid follow condition true each path start 1 let c_i number path cover vertex for pair vertex uv 2le uvle n parent c_uc_vle 1 hold the value path multiset define sumlimits_i1n c_i s_iit show possible find valid multiset find maximum value valid multiset,tree
you give n segment coordinate axis the ith segment l_i r_i let denote set integer point belong ith segment s_ilet a cup b union set a B a cap b intersection set a B a oplus b symmetric difference A b set contain element a element b one belong setsLet mathbinop_1 mathbinop_2 dot mathbinop_n1 array element cup oplus cap over 3n1 way choose array calculate sum follow valuess_1 mathbinop_1 S_2 mathbinop_2 S_3 mathbinop_3 S_4 dot mathbinop_n1 s_nin expression S denote size set S,array
Alperen strings s t initially equal he perform q operation type give string 1 k x Append string x exactly k times end string s in word s s underbracex dot x_k text times 2 k x Append string x exactly k times end string t in word t t underbracex dot x_k text time after operation determine possible rearrange character s t s lexicographically smallerdagger tNote string change perform operation do not initial statesdagger simply speak lexicographical order order word list dictionary a formal definition follow stre p lexicographically small string q exist position p_i q_i j p_j q_j if exist p lexicographically small q length p length q for example textttabdc textttabe textttabc textttabcd write p q p lexicographically small q,string
Kirill live connect undirected graph n vertex m edge vertex 1 one fine evening gather f friend ith friend live vertex h_i so friend vertex 1 ith friend home vertex h_ithe evening end time leave it turn k k le 6 friend car walk give ride one friend car ride number friend car ride drive short path housefor example graph friend vertex h_i5 ride friend follow set vertex 2 3 2 4 2 3 4 can not ride friend vertex 6 set 3 4 the vertex friend car live highlight green car red Kirill want friend possible walk help find minimum possible number,graph
two Tshirt size give b the Tshirt size string M string consist possibly zero character x character S LFor example string M XXL S XXXXXXXS size tshirt and string XM LL SX sizesThe letter M stand medium S small L large the letter x refer degree size eXtra for example XXL extraextralarge big XL small XXXLYou need compare give size Tshirts bThe Tshirts compare follow small size matter letter x small medium size large size large size regardless number letter x large medium size small size letter X S small size letter X L large size for example XXXS XS XXXL XL XL M XXL XXL XXXXXS M XL xxxs,string
in world Compfestnesia Pak Chanek discover secret underground dungeon inside treasure chest surround n statue arrange circular manner the statue number 0 n1 statue leave statue i1 statue n1 leave statue 0pak Chanek observe statue hold crystal ball integer 0 m1 inclusive Lets integer crystal ball statue a_ithe dungeon provide instruction integer crystal ball 0 order open treasure chest to achieve Pak Chanek give integer k zero operation in single operation Pak Chanek following choose exactly k consecutive statue in word choose statue p p1 bmod n p2 bmod n p3 bmod n ldot pk1 bmod n choose index p Do follow for choose statue change value a_i a_i1 bmod m for choose statue change value a_i a_i1 bmod m help Pak Chanek find minimum possible number operation open treasure chest,graph
give root tree define value vertex u tree recursively mexdagger value child note child descendant in particular value leaf 0pak chanek root tree initially contain single vertex index 1 root Pak Chanek go q query in ith query Pak Chanek give integer x_i Pak Chanek need add new vertex index i1 child vertex x_i after add new vertex Pak Chanek need recalculate value vertex report sum value vertice current treedagger the MEX minimum exclude array smallest nonnegative integer belong array for example MEX 011267 3 MEX 69 0,tree
